Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
10:14:24 PM         1       332      1.94      4.01      2.38         0
10:14:25 PM         2       332      1.94      4.01      2.38         0
10:14:26 PM         2       332      1.94      4.01      2.38         0
10:14:27 PM         2       332      1.94      4.01      2.38         1
10:14:28 PM         2       332      1.94      4.01      2.38         0
10:14:29 PM         2       332      1.94      3.98      2.38         0
10:14:30 PM         2       332      1.94      3.98      2.38         0
10:14:31 PM         2       332      1.94      3.98      2.38         0
10:14:32 PM         1       334      1.94      3.98      2.38         2
10:14:33 PM         2       334      1.94      3.98      2.38         0
10:14:34 PM         2       334      1.95      3.95      2.38         0
10:14:35 PM         0       334      1.95      3.95      2.38         0
10:14:36 PM         1       334      1.95      3.95      2.38         0
10:14:37 PM         2       334      1.95      3.95      2.38         0
10:14:38 PM         3       334      1.95      3.95      2.38         0
10:14:39 PM         2       334      1.79      3.88      2.36         0
10:14:40 PM         2       332      1.79      3.88      2.36         0
10:14:41 PM         2       332      1.79      3.88      2.36         1
10:14:42 PM         2       332      1.79      3.88      2.36         1
10:14:43 PM         2       332      1.79      3.88      2.36         0
10:14:44 PM         2       332      1.81      3.85      2.36         0
10:14:45 PM         2       332      1.81      3.85      2.36         0
10:14:46 PM         2       332      1.81      3.85      2.36         0
10:14:47 PM         2       332      1.81      3.85      2.36         0
10:14:48 PM         2       332      1.81      3.85      2.36         2
10:14:49 PM         2       332      1.98      3.85      2.37         2
10:14:50 PM         3       332      1.98      3.85      2.37         0
10:14:51 PM         4       332      1.98      3.85      2.37         0
10:14:52 PM         1       327      1.98      3.85      2.37         0
10:14:53 PM         1       327      1.98      3.85      2.37         0
10:14:54 PM         1       327      1.91      3.80      2.36         0
10:14:55 PM         1       327      1.91      3.80      2.36         0
10:14:56 PM         1       327      1.91      3.80      2.36         1
10:14:57 PM         1       327      1.91      3.80      2.36         0
10:14:58 PM         1       327      1.91      3.80      2.36         0
10:14:59 PM         1       327      1.83      3.76      2.36         0
10:15:00 PM         1       327      1.83      3.76      2.36         0
10:15:01 PM         1       327      1.83      3.76      2.36         1
10:15:02 PM         1       327      1.83      3.76      2.36         0
10:15:03 PM         2       327      1.83      3.76      2.36         0
10:15:04 PM         2       327      1.77      3.71      2.35         0
10:15:05 PM         2       326      1.77      3.71      2.35         0
10:15:06 PM         2       326      1.77      3.71      2.35         1
10:15:07 PM         2       326      1.77      3.71      2.35         0
10:15:08 PM         2       326      1.77      3.71      2.35         0
10:15:09 PM         2       326      1.70      3.67      2.34         0
10:15:10 PM         6       326      1.70      3.67      2.34         0
10:15:11 PM         2       326      1.70      3.67      2.34         1
10:15:12 PM         2       326      1.70      3.67      2.34         0
10:15:13 PM         2       326      1.70      3.67      2.34         0
10:15:14 PM         1       326      1.57      3.61      2.33         0
10:15:15 PM         1       326      1.57      3.61      2.33         0
10:15:16 PM         1       328      1.57      3.61      2.33         1
